col_name,condition,replica,batch
DEDO-WT-A.raw,WT_1,1,1
DEDO-WT-B.raw,WT_1,2,1
DEDO-WT-C.raw,WT_1,3,1
DEDO-11-3-A.raw,MUT3_1,1,1
DEDO-11-3-B.raw,MUT3_1,2,1
DEDO-11-3-C.raw,MUT3_1,3,1
DEDO-11-4-A.raw,MUT4_1,1,1
DEDO-11-4-B.raw,MUT4_1,2,1
DEDO-11-4-C.raw,MUT4_1,3,1
342_2022_WT_AS.raw,WTSOL_2,1,2
342_2022_WT_BS.raw,WTSOL_2,2,2
342_2022_WT_CS.raw,WTSOL_2,3,2
342_2022_WT_AI.raw,WTINS_2,1,2
342_2022_WT_BI.raw,WTINS_2,2,2
342_2022_WT_CI.raw,WTINS_2,3,2
342_2022_11_AS.raw,MUT3SOL_2,1,2
342_2022_11_BS.raw,MUT3SOL_2,2,2
342_2022_11_CS.raw,MUT3SOL_2,3,2
342_2022_11_AI.raw,MUT3INS_2,1,2
342_2022_11_BI.raw,MUT3INS_2,2,2
342_2022_11_CI.raw,MUT3INS_2,3,2
010_2023-DEDO-WT-A-Sol.raw,WTSOL_3,4,3
010_2023-DEDO-WT-B-Sol.raw,WTSOL_3,5,3
010_2023-DEDO-WT-C-Sol.raw,WTSOL_3,6,3
010_2023-DEDO-WT-A-Unsol.raw,WTINS_3,4,3
010_2023-DEDO-WT-B-Unsol.raw,WTINS_3,5,3
010_2023-DEDO-WT-C-Unsol.raw,WTINS_3,6,3
010_2023-DEDO-11-4-A-Sol.raw,MUT4SOL_3,1,3
010_2023-DEDO-11-4-B-Sol.raw,MUT4SOL_3,2,3
010_2023-DEDO-11-4-C-Sol.raw,MUT4SOL_3,3,3
010_2023-DEDO-11-4-A-Unsol.raw,MUT4INS_3,1,3
010_2023-DEDO-11-4-B-Unsol.raw,MUT4INS_3,2,3
010_2023-DEDO-11-4-C-Unsol.raw,MUT4INS_3,3,3
