"Var1"	"Freq"
"1"	"GFP.BLA"	5
"2"	"Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1"	6
"3"	"Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1"	52
"4"	"Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1"	34
"5"	"Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1"	41
"6"	"Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1"	14
"7"	"Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1"	18
"8"	"Tb05.5K5.170:mRNA-p1;Tb927.5.4530:mRNA-p1"	1
"9"	"Tb05.5K5.190:mRNA-p1"	1
"10"	"Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1"	28
"11"	"Tb05.5K5.210:mRNA-p1"	21
"12"	"Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1"	6
"13"	"Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1"	12
"14"	"Tb05.5K5.280:pseudogenic_transcript-p1"	3
"15"	"Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1"	28
"16"	"Tb05.5K5.40:mRNA-p1;Tb927.5.4390:mRNA-p1"	6
"17"	"Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1"	17
"18"	"Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1"	7
"19"	"Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1"	36
"20"	"Tb05.5K5.80:mRNA-p1;Tb927.5.4430:mRNA-p1"	10
"21"	"Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1"	4
"22"	"Tb06.3A7.270:mRNA-p1"	5
"23"	"Tb06.3A7.960:mRNA-p1"	9
"24"	"Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1"	8
"25"	"Tb08.27P2.110:mRNA-p1;Tb927.8.480:mRNA-p1"	1
"26"	"Tb08.27P2.400:pseudogenic_transcript-p1"	1
"27"	"Tb09.v4.0010:mRNA-p1;Tb927.9.15680:pseudogenic_transcript-p1"	2
"28"	"Tb09.v4.0013:mRNA-p1"	4
"29"	"Tb09.v4.0014:mRNA-p1;Tb09.v4.0110:mRNA-p1;Tb927.9.15850:mRNA-p1"	6
"30"	"Tb09.v4.0015:mRNA-p1"	2
"31"	"Tb09.v4.0016:mRNA-p1;Tb11.v5.0463.1-p1"	10
"32"	"Tb09.v4.0017:mRNA-p1"	4
"33"	"Tb09.v4.0018:mRNA-p1"	5
"34"	"Tb09.v4.0057:pseudogenic_transcript-p1;Tb11.v5.0401.1-p1"	1
"35"	"Tb09.v4.0065:mRNA-p1"	1
"36"	"Tb09.v4.0067:pseudogenic_transcript-p1"	1
"37"	"Tb09.v4.0102:mRNA-p1"	1
"38"	"Tb09.v4.0103:pseudogenic_transcript-p1"	1
"39"	"Tb09.v4.0107:mRNA-p1"	2
"40"	"Tb09.v4.0109:mRNA-p1"	9
"41"	"Tb09.v4.0111:pseudogenic_transcript-p1"	1
"42"	"Tb09.v4.0119:pseudogenic_transcript-p1"	5
"43"	"Tb09.v4.0139:pseudogenic_transcript-p1"	2
"44"	"Tb09.v4.0150:pseudogenic_transcript-p1"	4
"45"	"Tb09.v4.0151:mRNA-p1"	2
"46"	"Tb09.v4.0164:pseudogenic_transcript-p1"	1
"47"	"Tb10.v4.0033:mRNA-p1;Tb927.10.4430:mRNA-p1"	21
"48"	"Tb10.v4.0034:mRNA-p1;Tb927.10.4440:mRNA-p1"	5
"49"	"Tb10.v4.0035:mRNA-p1;Tb927.10.4450:mRNA-p1"	22
"50"	"Tb10.v4.0036:mRNA-p1;Tb927.10.4460:mRNA-p1"	10
"51"	"Tb10.v4.0038:mRNA-p1;Tb927.10.4480:mRNA-p1"	4
"52"	"Tb10.v4.0039:mRNA-p1"	39
"53"	"Tb10.v4.0040:mRNA-p1;Tb927.10.4500:mRNA-p1"	12
"54"	"Tb10.v4.0041:mRNA-p1"	14
"55"	"Tb10.v4.0043:mRNA-p1;Tb11.v5.1012.1-p1;Tb927.10.4330:mRNA-p1"	8
"56"	"Tb10.v4.0044:mRNA-p1;Tb927.10.4320:mRNA-p1"	27
"57"	"Tb10.v4.0045:mRNA-p1;Tb927.10.4310:mRNA-p1"	21
"58"	"Tb10.v4.0052:mRNA-p1"	27
"59"	"Tb10.v4.0066:pseudogenic_transcript-p1"	2
"60"	"Tb10.v4.0145:mRNA-p1;Tb11.v5.0447.1-p1"	1
"61"	"Tb10.v4.0146:pseudogenic_transcript-p1"	1
"62"	"Tb10.v4.0217:mRNA-p1"	7
"63"	"Tb10.v4.0218:mRNA-p1"	2
"64"	"Tb10.v4.0219:pseudogenic_transcript-p1"	2
"65"	"Tb10.v4.0220:pseudogenic_transcript-p1"	1
"66"	"Tb10.v4.0229:pseudogenic_transcript-p1"	1
"67"	"Tb10.v4.0246:mRNA-p1;Tb927.10.6900:mRNA-p1"	16
"68"	"Tb10.v4.0247:mRNA-p1;Tb11.v5.0496.1-p1;Tb927.10.6910:mRNA-p1;Tb927.10.6950:mRNA-p1"	5
"69"	"Tb10.v4.0248:mRNA-p1;Tb927.10.6920:mRNA-p1"	1
"70"	"Tb10.v4.0249:mRNA-p1;Tb927.10.6930:mRNA-p1"	3
"71"	"Tb11.01.2730.1-p1"	58
"72"	"Tb11.01.6240.1-p1;Tb11.01.6241.1-p1"	1
"73"	"Tb11.01.6250:mRNA-p1"	4
"74"	"Tb11.02.5070b.1-p1;Tb927.11.7212:mRNA-p1"	6
"75"	"Tb11.02.5080b.1-p1;Tb927.11.7213:mRNA-p1"	16
"76"	"Tb11.02.5090.1-p1;Tb11.02.5090b.1-p1"	12
"77"	"Tb11.02.5100b.1-p1;Tb927.11.7214:mRNA-p1"	5
"78"	"Tb11.02.5105:mRNA-p1;Tb11.02.5105b.1-p1"	3
"79"	"Tb11.02.5110b.1-p1;Tb927.11.7216.1-p1"	3
"80"	"Tb11.02.5120b.1-p1;Tb927.11.7218:mRNA-p1"	3
"81"	"Tb11.02.5360:mRNA-p1;Tb11.02.5360b.1-p1"	6
"82"	"Tb11.02.5380.1-p1;Tb11.02.5380b.1-p1"	40
"83"	"Tb11.02.5390:mRNA-p1;Tb11.02.5390b.1-p1"	37
"84"	"Tb11.02.5400:mRNA-p1;Tb11.02.5400b.1-p1"	6
"85"	"Tb11.02.5410:mRNA-p1;Tb11.02.5410b:mRNA-p1"	9
"86"	"Tb11.02.5420:mRNA-p1;Tb11.02.5420b.1-p1"	33
"87"	"Tb11.02.5430:mRNA-p1;Tb11.02.5430b.1-p1"	14
"88"	"Tb11.02.5440:mRNA-p1;Tb11.02.5440b:mRNA-p1"	1
"89"	"Tb11.0240:pseudogenic_transcript-p1"	1
"90"	"Tb11.0290:mRNA-p1;Tb11.0390:mRNA-p1;Tb927.11.7705:mRNA-p1;Tb927.6.4980:mRNA-p1"	9
"91"	"Tb11.0320:mRNA-p1;Tb927.11.7690.1-p1"	9
"92"	"Tb11.0340:mRNA-p1;Tb927.11.7660.1-p1"	5
"93"	"Tb11.0350:mRNA-p1"	14
"94"	"Tb11.0520:mRNA-p1;Tb927.10.1130:mRNA-p1"	14
